Date,Open,High,Low,Close,Volume,MA_30,Daily_Return
2015-02-02,226.49,242.18,222.66,238.23,30612100,242.23733333333334,0.04961008062739558
2015-02-03,237.45,245.96,224.48,227.27,40783700,241.00633333333332,-0.04600596062628548
2015-02-04,227.51,230.06,221.11,226.85,26594300,239.419,-0.0018480221762662286
2015-02-05,227.66,239.40,214.73,217.11,22516400,237.11633333333333,-0.042935860700903605
2015-02-06,216.92,230.51,216.23,222.27,24435300,234.714,0.0237667541799087
2015-02-07,222.63,230.30,222.61,227.75,21604200,232.86066666666667,0.024654699239663458
2015-02-08,227.69,229.44,221.08,223.41,17145200,230.62733333333333,-0.019055982436882557
2015-02-09,223.39,223.98,217.02,220.11,27791300,228.80433333333335,-0.01477104874446078
2015-02-10,220.28,221.81,215.33,219.84,21115100,227.277,-0.001226659397573937
2015-02-11,219.73,223.41,218.07,219.18,17201900,225.65633333333335,-0.003002183406113468
2015-02-12,219.21,222.20,217.61,221.76,15206200,225.51966666666667,0.011771147002463733
2015-02-13,221.97,240.26,221.26,235.43,42744400,227.43066666666667,0.06164321789321803
2015-02-14,235.53,259.81,235.53,257.32,49732500,229.01333333333335,0.09297880474026243
2015-02-15,257.51,265.61,227.68,234.82,56552400,229.904,-0.0874397637183274
2015-02-16,234.82,239.52,229.02,233.84,28153700,231.0566666666667,-0.004173409419981233
2015-02-17,233.42,245.77,232.31,243.61,27363100,232.16566666666668,0.04178070475538842
2015-02-18,243.78,244.25,232.34,236.33,25200800,232.88133333333332,-0.029883830713024917
2015-02-19,236.41,242.67,235.59,240.28,18270500,233.8466666666667,0.016713916980493293
2015-02-20,240.25,247.10,239.30,243.78,23876700,234.40933333333336,0.014566339270850603
2015-02-21,243.75,255.32,243.18,244.53,12284200,234.78,0.003076544425301586
2015-02-22,244.54,246.39,233.85,235.98,19527000,234.88333333333335,-0.034965034965035
2015-02-23,235.99,240.11,232.42,238.89,16400000,234.58466666666666,0.012331553521484961
2015-02-24,239.00,239.90,236.40,238.74,14200400,234.08533333333332,-0.0006279040562601201
2015-02-25,238.89,239.34,235.53,237.47,11496200,232.88533333333334,-0.005319594537991135
2015-02-26,237.34,237.71,234.26,236.43,13619400,231.98366666666666,-0.004379500568492789
2015-02-27,236.44,256.65,236.44,253.83,44013900,232.64766666666668,0.07359472148204538
2015-02-28,253.52,254.69,249.48,254.26,13949300,233.33933333333334,0.0016940471969426607
2015-03-01,254.28,261.66,245.93,260.2,25213700,234.465,0.023361913002438506
2015-03-02,260.36,276.30,258.31,275.67,40465700,236.40533333333332,0.059454265949269836
2015-03-03,275.05,285.80,268.16,281.7,50461300,238.22966666666667,0.02187397975840666
2015-03-04,281.99,284.23,268.13,273.09,41383000,239.39166666666668,-0.030564430244941487
2015-03-05,272.74,281.67,264.77,276.18,41302400,241.022,0.011314951115017235
2015-03-06,275.60,277.61,270.02,272.72,28918900,242.551,-0.0125280614092258
2015-03-07,272.29,277.85,270.13,276.26,17825900,244.52266666666668,0.012980346142563715
2015-03-08,276.43,277.86,272.57,274.35,22067900,246.25866666666667,-0.006913776876855016
2015-03-09,274.81,292.70,273.89,289.61,59178200,248.32066666666665,0.055622380171314045
2015-03-10,289.86,300.04,289.74,291.76,67770800,250.59900000000002,0.007423776803287208
2015-03-11,291.52,297.39,290.51,296.38,33963900,253.14133333333336,0.01583493282149706
2015-03-12,296.13,297.09,292.41,294.35,32585200,255.625,-0.006849315068493067
2015-03-13,294.12,294.50,285.34,285.34,31421500,257.83033333333333,-0.030609818243587772
2015-03-14,284.44,286.34,280.98,281.89,22612300,259.8346666666667,-0.012090838999088804
2015-03-15,281.42,286.53,281.00,286.39,11970100,261.53333333333336,0.015963673773457643
2015-03-16,285.68,294.11,285.68,290.59,21516100,262.64233333333334,0.014665316526415006
2015-03-17,290.60,292.36,284.37,285.51,21497200,264.332,-0.01748167521249866
2015-03-18,285.07,285.34,249.87,256.3,57008000,265.0806666666667,-0.10230815032748408
2015-03-19,255.88,264.24,248.64,260.93,52732000,265.658,0.018064767850175523
2015-03-20,260.96,264.85,259.16,261.75,18456700,266.50533333333334,0.0031426052964396156
2015-03-21,261.64,262.20,255.65,260.02,17130100,267.1633333333333,-0.006609360076408888
2015-03-22,259.92,269.75,259.59,267.96,18438100,267.96933333333334,0.03053611260672251
2015-03-23,267.89,277.30,261.74,266.74,22811900,268.7096666666667,-0.004552918346021673
2015-03-24,266.58,267.00,244.15,245.6,40073700,269.0303333333333,-0.07925320536852376
2015-03-25,247.47,249.19,236.51,246.2,35866900,269.274,0.0024429967426709
2015-03-26,246.28,254.35,244.90,248.53,25730000,269.60033333333337,0.009463850528026008
